Dataset,Algorithm,CV-Fold,Hyper-parameters,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Train_time,Infer_time
coil-100_3,RandAugment,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00021178745837873746, 'amsgrad': False}",0.975000023841858,0.9720497,0.4751553,0.975000023841858,1.0,1.0,24.05225706100464,2.1803019046783447
coil-100_3,RandAugment,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001421161688138654, 'amsgrad': True}",0.987500011920929,0.9720497,0.4751553,0.987500011920929,1.0,1.0,26.174077033996586,2.1847448348999023
coil-100_3,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00015135645870725865, 'amsgrad': True}",0.987500011920929,0.9720497,0.4751553,0.987500011920929,1.0,1.0,28.1675226688385,2.4141087532043457
coil-100_3,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00020660637400631314, 'amsgrad': True}",0.96875,0.9720497,0.4751553,0.96875,1.0,1.0,26.26329469680786,2.3775415420532227
coil-100_3,RandAugment,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00026501540292637674, 'amsgrad': True}",0.943750023841858,0.97189444,0.4751635,0.943750023841858,0.9998355507850648,0.9974723815917969,24.48343610763549,2.2462379932403564
coil-100_3,RandAugment,6,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0004313224419836779, 'amsgrad': False}",0.962499976158142,0.9720497,0.4751553,0.962499976158142,1.0,1.0,25.24981689453125,2.248666286468506
coil-100_3,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010408907871945027, 'amsgrad': True}",1.0,0.9720497,0.4751553,1.0,1.0,1.0,27.60826539993286,2.2286181449890137
coil-100_3,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001457977632905819, 'amsgrad': False}",0.96875,0.97197205,0.47515935,0.96875,0.99991774559021,0.9985243082046508,26.697292804718018,2.313865900039673
coil-100_3,RandAugment,9,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00018642515110825207, 'amsgrad': True}",1.0,0.9720497,0.4751553,1.0,1.0,1.0,24.150757789611816,2.179110288619995
vgg-cats,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010387979748442218, 'amsgrad': False}",0.8916666507720947,0.9524031281471252,0.4588724374771118,0.8916666507720947,0.9955871105194092,0.9654262860616049,93.61974501609802,5.556159019470215
vgg-cats,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.263376738545248e-05, 'amsgrad': True}",0.8583333492279053,0.9502593874931335,0.4590673148632049,0.8583333492279053,0.9932385683059692,0.9517023315032324,95.44819903373718,5.705129146575928
vgg-cats,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 9.697711219432607e-05, 'amsgrad': False}",0.8916666507720947,0.9529045224189758,0.4588268399238586,0.8916666507720947,0.9961363077163696,0.9671985507011414,93.59586191177368,5.5685343742370605
vgg-cats,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 6.134764705841803e-05, 'amsgrad': True}",0.8958333134651184,0.9508990049362184,0.4590092003345489,0.8958333134651184,0.9939393401145936,0.9571970949570338,95.67809057235718,5.665712594985962
vgg-cats,Baseline,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.348654050850958e-05, 'amsgrad': True}",0.949999988079071,0.954339563846588,0.4586964249610901,0.949999988079071,0.9977083206176758,0.9793533285458884,94.40089774131776,5.5426185131073
vgg-cats,Baseline,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00014193439487617654, 'amsgrad': True}",0.9041666388511658,0.9544270634651184,0.4599037170410156,0.9041666388511658,0.9979710578918456,0.982802763581276,95.1049280166626,5.694316148757935
vgg-cats,Baseline,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.154069363649382e-05, 'amsgrad': True}",0.9291666746139526,0.9549100995063782,0.4586445391178131,0.9291666746139526,0.9983333349227904,0.98472897708416,94.1900315284729,5.674873113632202
vgg-cats,Baseline,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010570088614235523, 'amsgrad': False}",0.9375,0.9527143836021424,0.4588441252708435,0.9375,0.9959279894828796,0.9780937433242798,93.99156093597412,5.528919219970703
vgg-cats,Baseline,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010869422294786542, 'amsgrad': True}",0.925000011920929,0.9536306858062744,0.4587608575820923,0.925000011920929,0.996931791305542,0.97552985449632,98.0098385810852,5.811649560928345
vgg-cats,Baseline,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001175299440250947, 'amsgrad': True}",0.8999999761581421,0.9507118463516236,0.4587326347827911,0.8999999761581421,0.9937760233879088,0.9497571388880413,101.10453295707704,5.991225719451904
vgg-cats,Baseline,9,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.0002679536752436612, 'amsgrad': False}",0.875,0.9517635107040404,0.4589305818080902,0.875,0.9948863387107848,0.9575480123360952,92.30352449417114,5.6057658195495605
vgg-cats,Baseline,10,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.761316577042063e-05, 'amsgrad': False}",0.9145299196243286,0.9537484049797058,0.4584957361221313,0.9145299196243286,0.9970211982727052,0.974268396695455,93.69998908042908,5.555487155914307
vgg-cats,RandAugment,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00013564177871886355, 'amsgrad': False}",0.8291666507720947,0.9460235238075256,0.4594523906707763,0.8291666507720947,0.9885984659194946,0.9175074895222982,106.37158250808716,6.073669672012329
vgg-cats,RandAugment,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001378764208259571, 'amsgrad': True}",0.8166666626930237,0.9404736757278442,0.4599569141864776,0.8166666626930237,0.9825189113616944,0.9086975355943044,110.33835124969482,6.351341009140015
vgg-cats,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.406599446655616e-05, 'amsgrad': False}",0.8833333253860474,0.9514004588127136,0.4589636027812958,0.8833333253860474,0.9944885969161988,0.9580354392528534,108.55111694335938,6.201241254806519
vgg-cats,RandAugment,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00011506990888113926, 'amsgrad': True}",0.8958333134651184,0.9506076574325562,0.4595801532268524,0.8958333134651184,0.9937783479690552,0.9543684422969818,109.09852623939514,6.102719783782959
vgg-cats,RandAugment,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00013766257019435913, 'amsgrad': True}",0.875,0.9497579336166382,0.4591129124164581,0.875,0.9926893711090088,0.942171186208725,108.12198328971864,6.420287847518921
vgg-cats,RandAugment,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001214734479213571, 'amsgrad': True}",0.9041666388511658,0.945988953113556,0.4594555199146271,0.9041666388511658,0.9885605573654176,0.9412035346031188,108.3999412059784,6.174375772476196
vgg-cats,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00015155603492753388, 'amsgrad': False}",0.824999988079071,0.9461618065834044,0.4594398736953735,0.824999988079071,0.9887499809265136,0.923856516679128,107.14687514305116,6.115661382675171
vgg-cats,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 6.986794479023807e-05, 'amsgrad': False}",0.8916666507720947,0.9483680725097656,0.4601846635341644,0.8916666507720947,0.9912310242652892,0.9422075400749842,115.73900723457336,6.8778064250946045
vgg-cats,RandAugment,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00012571936613279413, 'amsgrad': True}",0.862500011920929,0.950553297996521,0.4590406119823456,0.862500011920929,0.993560552597046,0.9500409414370856,108.6983847618103,6.314031600952148
vgg-cats,RandAugment,10,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00011175150339309649, 'amsgrad': True}",0.8931623697280884,0.9455231428146362,0.4588572978973388,0.8931623697280884,0.98805034160614,0.933162992199262,108.19303488731384,6.2294652462005615
vgg-flowers,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00013835512691033353, 'amsgrad': False}",0.9734411239624025,0.9943689703941344,0.4950950145721435,0.9734411239624025,0.99918794631958,0.992314013780332,437.15990447998047,7.577989816665649
vgg-flowers,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.000138109775836557, 'amsgrad': True}",0.9815242290496826,0.9944961071014404,0.4951039552688598,0.9815242290496826,0.9992848634719848,0.997112183594236,427.1770260334015,7.306164026260376
vgg-flowers,Baseline,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001574651203149464, 'amsgrad': False}",0.9757505655288696,0.9943053722381592,0.4951067268848419,0.9757505655288696,0.9990917444229126,0.9939357626671884,424.4247713088989,7.045123100280762
vgg-flowers,Baseline,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00011043062269034144, 'amsgrad': True}",0.9792147874832152,0.9943904876708984,0.4951052069664001,0.9792147874832152,0.9991810917854308,0.9932641176616444,430.83015966415405,7.190735816955566
vgg-flowers,Baseline,5,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00016025362778447345, 'amsgrad': True}",0.9780600666999816,0.9942055344581604,0.4951070547103882,0.9780600666999816,0.9989996552467346,0.9908689540975234,427.6679708957672,7.222543716430664
vgg-flowers,Baseline,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.000137565941101251, 'amsgrad': False}",0.9734411239624025,0.9944655895233154,0.495104432106018,0.9734411239624025,0.9992557168006896,0.9960192862678976,426.92645812034607,7.109391927719116
vgg-flowers,Baseline,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00021538622445882322, 'amsgrad': True}",0.9734411239624025,0.9928451776504515,0.4951136708259582,0.9734411239624025,0.9976354837417604,0.9900554979548736,424.5736401081085,7.103240966796875
vgg-flowers,Baseline,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0002032436269622895, 'amsgrad': True}",0.9699769020080566,0.9941752552986144,0.4951070547103882,0.9699769020080566,0.9989712834358216,0.9889364639918008,426.329398393631,7.073135852813721
vgg-flowers,Baseline,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00013210393074625183, 'amsgrad': True}",0.9733978509902954,0.9943764805793762,0.4951050579547882,0.9733978509902954,0.9989701509475708,0.9915459746239232,427.9436235427856,7.15363883972168
vgg-flowers,RandAugment,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00016469709042041302, 'amsgrad': True}",0.7561290264129639,0.9887506365776062,0.49515777826309204,0.7561290264129639,0.9936429262161255,0.8714140858135971,536.0752418041229,8.796409130096436
vgg-flowers,RandAugment,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00014832329270894113, 'amsgrad': False}",0.7625806331634521,0.9885313510894775,0.4951648414134979,0.7625806331634521,0.9934121966362,0.8629840776032093,529.7334916591644,8.374478101730347
vgg-flowers,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00012423206347551006, 'amsgrad': False}",0.8103225827217102,0.9902667999267578,0.49513983726501465,0.8103225827217102,0.995144248008728,0.8906331537108795,531.7342138290405,8.633997201919556
vgg-flowers,RandAugment,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00025611491315928066, 'amsgrad': False}",0.7393548488616943,0.9827032685279846,0.49522438645362854,0.7393548488616943,0.9875624179840088,0.8519614400232539,537.017829656601,8.695127964019775
