Dataset,Algorithm,CV-Fold,Hyper-parameters,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Train_time,Infer_time
stanford-dogs_1,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.936715190708133e-05, 'amsgrad': False}",0.9352940917015076,0.9710491299629213,0.4752091765403747,0.9352940917015076,0.997080147266388,0.97474205493927,133.51386857032776,6.5321478843688965
stanford-dogs_1,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.113932263468634e-05, 'amsgrad': True}",0.9176470637321472,0.9710662961006165,0.4752005636692047,0.9176470637321472,0.9971205592155457,0.961887139081955,145.30852460861206,7.860008239746094
stanford-dogs_1,Baseline,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 6.532988422683648e-05, 'amsgrad': False}",0.9264705777168274,0.9713324308395386,0.4751869738101959,0.9264705777168274,0.9973971843719482,0.968106284737587,136.39944124221802,6.770924806594849
stanford-dogs_1,Baseline,4,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.810265964530225e-05, 'amsgrad': False}",0.908823549747467,0.9706417322158812,0.4752218723297119,0.908823549747467,0.9966962933540344,0.9602273046970368,139.7441487312317,6.583885192871094
stanford-dogs_1,Baseline,5,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.000965404099908057, 'nesterov': True}",0.9411764740943908,0.9723294973373412,0.4751386046409607,0.9411764740943908,0.9984250664711,0.9808782935142516,130.81384372711182,6.467178821563721
stanford-dogs_1,Baseline,6,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0009388680713989592, 'nesterov': True}",0.949999988079071,0.9715745449066162,0.4751747250556946,0.949999988079071,0.99762761592865,0.9776219546794892,152.739013671875,7.800508737564087
stanford-dogs_1,Baseline,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010423659972290293, 'amsgrad': False}",0.9058823585510254,0.9703046679496764,0.4752386212348938,0.9058823585510254,0.9963363409042358,0.9509356677532196,134.63909792900083,6.652570724487305
stanford-dogs_1,Baseline,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 6.182067424831739e-05, 'amsgrad': True}",0.911764681339264,0.970781147480011,0.4752146303653717,0.911764681339264,0.9968217611312866,0.9573070675134658,186.0855791568756,9.156402349472046
stanford-dogs_1,Baseline,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010551726293683847, 'amsgrad': False}",0.9352940917015076,0.9708660244941713,0.4752091765403747,0.9352940917015076,0.9968785643577576,0.9772299706935884,189.55681920051572,9.21822428703308
stanford-dogs_1,Baseline,10,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00011701219300241628, 'amsgrad': False}",0.8972331881523132,0.971217691898346,0.4751890003681183,0.8972331881523132,0.9970776438713074,0.9633377730846404,194.7164855003357,9.692450284957886
stanford-dogs_2,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.443803423505539e-05, 'amsgrad': True}",0.8595505356788635,0.9674554467201232,0.4753895103931427,0.8595505356788635,0.99326491355896,0.9156363874673844,193.74510836601257,8.592709064483643
stanford-dogs_2,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 5.6458809865298996e-05, 'amsgrad': True}",0.9129213690757751,0.9708388447761536,0.4754166007041931,0.9129213690757751,0.9968361258506776,0.9557276219129562,194.4839427471161,8.355484247207642
stanford-dogs_2,Baseline,3,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0009832129634853293, 'nesterov': True}",0.9410112500190736,0.972101867198944,0.4751471877098083,0.9410112500190736,0.9981197714805604,0.9682515889406204,191.7567584514618,9.053711652755736
stanford-dogs_2,Baseline,4,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.0008015843279455729, 'nesterov': False}",0.9382022619247437,0.9720619916915894,0.4751518964767456,0.9382022619247437,0.99805748462677,0.9781776189804076,191.77503943443295,8.623449087142944
stanford-dogs_2,Baseline,5,"{'batch_size': 32, 'optimizer': 'sgd', 'lr': 0.000998426355787131, 'nesterov': True}",0.932584285736084,0.971175491809845,0.4751939177513122,0.932584285736084,0.9971444606781006,0.9598551958799362,191.25761914253235,8.440926551818848
stanford-dogs_2,Baseline,6,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 8.861715777210103e-05, 'amsgrad': False}",0.9185393452644348,0.9697127938270568,0.4752635657787323,0.9185393452644348,0.9956507086753844,0.9481970459222794,192.8699471950531,8.27724003791809
stanford-dogs_2,Baseline,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 5.4032545661414e-05, 'amsgrad': False}",0.9185393452644348,0.9709770083427428,0.4766761362552643,0.9185393452644348,0.99704110622406,0.9564829647541048,193.4084551334381,8.412708759307861
stanford-dogs_2,Baseline,8,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00012777438211832213, 'amsgrad': False}",0.9016854166984558,0.970976173877716,0.4752056300640106,0.9016854166984558,0.9969383478164672,0.9600343525409698,179.7838888168335,9.033146142959597
stanford-dogs_2,Baseline,9,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 6.518474034451825e-05, 'amsgrad': False}",0.898876428604126,0.970944344997406,0.4750664532184601,0.898876428604126,0.9970896244049072,0.9563730627298356,193.1905963420868,9.320284843444824
stanford-dogs_1,RandAugment,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.890919052173462e-05, 'amsgrad': True}",0.9133126735687256,0.9704334735870361,0.47523748874664307,0.9133126735687256,0.9965325593948364,0.9634359121322632,169.68931818008423,7.694190263748169
stanford-dogs_1,RandAugment,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.070504288672799e-05, 'amsgrad': False}",0.8792569637298584,0.9696335196495056,0.47527554631233215,0.8792569637298584,0.995710015296936,0.9537233978509903,169.80402660369873,7.511219024658203
stanford-dogs_1,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.726130173751104e-05, 'amsgrad': False}",0.8854489326477051,0.9691541790962219,0.4752979874610901,0.8854489326477051,0.9952216744422913,0.9427751570940017,167.20533561706543,7.758703708648682
