Dataset,Algorithm,CV-Fold,Hyper-parameters,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Train_time,Infer_time
coil-100_3,RandAugment,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00021178745837873746, 'amsgrad': False}",0.9750000238418579,0.9720497,0.4751553,0.9750000238418579,1.0,1.0,24.05225706100464,2.1803019046783447
coil-100_3,RandAugment,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001421161688138654, 'amsgrad': True}",0.9875000119209292,0.9720497,0.4751553,0.9875000119209292,1.0,1.0,26.174077033996586,2.1847448348999023
coil-100_3,RandAugment,3,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00015135645870725865, 'amsgrad': True}",0.9875000119209292,0.9720497,0.4751553,0.9875000119209292,1.0,1.0,28.1675226688385,2.4141087532043457
coil-100_3,RandAugment,4,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00020660637400631314, 'amsgrad': True}",0.96875,0.9720497,0.4751553,0.96875,1.0,1.0,26.26329469680786,2.3775415420532227
coil-100_3,RandAugment,5,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00026501540292637674, 'amsgrad': True}",0.9437500238418579,0.97189444,0.4751635,0.9437500238418579,0.9998355507850648,0.9974723815917969,24.483436107635498,2.2462379932403564
coil-100_3,RandAugment,6,"{'batch_size': 256, 'optimizer': 'adam', 'lr': 0.0004313224419836779, 'amsgrad': False}",0.9624999761581421,0.9720497,0.4751553,0.9624999761581421,1.0,1.0,25.24981689453125,2.248666286468506
coil-100_3,RandAugment,7,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010408907871945027, 'amsgrad': True}",1.0,0.9720497,0.4751553,1.0,1.0,1.0,27.60826539993286,2.2286181449890137
coil-100_3,RandAugment,8,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.0001457977632905819, 'amsgrad': False}",0.96875,0.97197205,0.47515935,0.96875,0.99991774559021,0.9985243082046508,26.697292804718018,2.3138659000396733
coil-100_3,RandAugment,9,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00018642515110825207, 'amsgrad': True}",1.0,0.9720497,0.4751553,1.0,1.0,1.0,24.150757789611816,2.179110288619995
cifar-100_5,Baseline,1,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 1.6398604203029695e-05, 'amsgrad': True}",0.6108333468437195,0.9349125623703004,0.4771098792552948,0.6108333468437195,0.9581841826438904,0.6875454694032669,17.373111248016354,3.310409545898437
cifar-100_1,Baseline,1,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 7.8513060910841e-05, 'amsgrad': True}",0.8924999833106995,0.9711941480636597,0.4752003252506256,0.8924999833106995,0.9964072108268738,0.950979745388031,198.85076928138733,3.302300453186035
cifar-100_1,Baseline,2,"{'batch_size': 32, 'optimizer': 'adam', 'lr': 0.00010039482077040152, 'amsgrad': True}",0.9049999713897705,0.971785306930542,0.47516876459121704,0.9049999713897705,0.997038722038269,0.9626981973648071,201.3019847869873,3.4357845783233643
cifar-100_1,Baseline,3,"{'batch_size': 128, 'optimizer': 'adam', 'lr': 0.00012504080333983198, 'amsgrad': True}",0.8858333230018616,0.9704656004905701,0.4752386212348938,0.8858333230018616,0.9956396222114563,0.9482843607664109,173.8042221069336,3.2613086700439453
